filename,N/S
images\augmented\1_1_flip.jpg,0
images\augmented\1_1_flip2.jpg,0
images\augmented\1_1_flip3.jpg,0
images\augmented\1_1_flip4.jpg,0
images\augmented\1_1_gray.jpg,0
images\augmented\1_1_original.jpg,0
images\augmented\1_1_sobel.jpg,0
images\augmented\1_3_flip.jpg,0
images\augmented\1_3_flip2.jpg,0
images\augmented\1_3_flip3.jpg,0
images\augmented\1_3_flip4.jpg,0
images\augmented\1_3_gray.jpg,0
images\augmented\1_3_original.jpg,0
images\augmented\1_3_sobel.jpg,0
images\augmented\1_4_flip.jpg,0
images\augmented\1_4_flip2.jpg,0
images\augmented\1_4_flip3.jpg,0
images\augmented\1_4_flip4.jpg,0
images\augmented\1_4_gray.jpg,0
images\augmented\1_4_original.jpg,0
images\augmented\1_4_sobel.jpg,0
images\augmented\2_1_flip.jpg,0
images\augmented\2_1_flip2.jpg,0
images\augmented\2_1_flip3.jpg,0
images\augmented\2_1_flip4.jpg,0
images\augmented\2_1_gray.jpg,0
images\augmented\2_1_original.jpg,0
images\augmented\2_1_sobel.jpg,0
images\augmented\2_2_flip.jpg,0
images\augmented\2_2_flip2.jpg,0
images\augmented\2_2_flip3.jpg,0
images\augmented\2_2_flip4.jpg,0
images\augmented\2_2_gray.jpg,0
images\augmented\2_2_original.jpg,0
images\augmented\2_2_sobel.jpg,0
images\augmented\2_3_flip.jpg,0
images\augmented\2_3_flip2.jpg,0
images\augmented\2_3_flip3.jpg,0
images\augmented\2_3_flip4.jpg,0
images\augmented\2_3_gray.jpg,0
images\augmented\2_3_original.jpg,0
images\augmented\2_3_sobel.jpg,0
images\augmented\2_4_flip.jpg,0
images\augmented\2_4_flip2.jpg,0
images\augmented\2_4_flip3.jpg,0
images\augmented\2_4_flip4.jpg,0
images\augmented\2_4_gray.jpg,0
images\augmented\2_4_original.jpg,0
images\augmented\2_4_sobel.jpg,0
images\augmented\2_5_flip.jpg,0
images\augmented\2_5_flip2.jpg,0
images\augmented\2_5_flip3.jpg,0
images\augmented\2_5_flip4.jpg,0
images\augmented\2_5_gray.jpg,0
images\augmented\2_5_original.jpg,0
images\augmented\2_5_sobel.jpg,0
images\augmented\2_6_flip.jpg,0
images\augmented\2_6_flip2.jpg,0
images\augmented\2_6_flip3.jpg,0
images\augmented\2_6_flip4.jpg,0
images\augmented\2_6_gray.jpg,0
images\augmented\2_6_original.jpg,0
images\augmented\2_6_sobel.jpg,0
images\augmented\2_7_flip.jpg,0
images\augmented\2_7_flip2.jpg,0
images\augmented\2_7_flip3.jpg,0
images\augmented\2_7_flip4.jpg,0
images\augmented\2_7_gray.jpg,0
images\augmented\2_7_original.jpg,0
images\augmented\2_7_sobel.jpg,0
images\augmented\2_8_flip.jpg,0
images\augmented\2_8_flip2.jpg,0
images\augmented\2_8_flip3.jpg,0
images\augmented\2_8_flip4.jpg,0
images\augmented\2_8_gray.jpg,0
images\augmented\2_8_original.jpg,0
images\augmented\2_8_sobel.jpg,0
images\augmented\2_9_flip.jpg,0
images\augmented\2_9_flip2.jpg,0
images\augmented\2_9_flip3.jpg,0
images\augmented\2_9_flip4.jpg,0
images\augmented\2_9_gray.jpg,0
images\augmented\2_9_original.jpg,0
images\augmented\2_9_sobel.jpg,0
images\augmented\3_1_flip.jpg,0
images\augmented\3_1_flip2.jpg,0
images\augmented\3_1_flip3.jpg,0
images\augmented\3_1_flip4.jpg,0
images\augmented\3_1_gray.jpg,0
images\augmented\3_1_original.jpg,0
images\augmented\3_1_sobel.jpg,0
images\augmented\3_3_flip.jpg,0
images\augmented\3_3_flip2.jpg,0
images\augmented\3_3_flip3.jpg,0
images\augmented\3_3_flip4.jpg,0
images\augmented\3_3_gray.jpg,0
images\augmented\3_3_original.jpg,0
images\augmented\3_3_sobel.jpg,0
images\augmented\3_5_flip.jpg,0
images\augmented\3_5_flip2.jpg,0
images\augmented\3_5_flip3.jpg,0
images\augmented\3_5_flip4.jpg,0
images\augmented\3_5_gray.jpg,0
images\augmented\3_5_original.jpg,0
images\augmented\3_5_sobel.jpg,0
images\augmented\4_1_flip.jpg,0
images\augmented\4_1_flip2.jpg,0
images\augmented\4_1_flip3.jpg,0
images\augmented\4_1_flip4.jpg,0
images\augmented\4_1_gray.jpg,0
images\augmented\4_1_original.jpg,0
images\augmented\4_1_sobel.jpg,0
images\augmented\4_2_flip.jpg,0
images\augmented\4_2_flip2.jpg,0
images\augmented\4_2_flip3.jpg,0
images\augmented\4_2_flip4.jpg,0
images\augmented\4_2_gray.jpg,0
images\augmented\4_2_original.jpg,0
images\augmented\4_2_sobel.jpg,0
images\augmented\4_3_flip.jpg,0
images\augmented\4_3_flip2.jpg,0
images\augmented\4_3_flip3.jpg,0
images\augmented\4_3_flip4.jpg,0
images\augmented\4_3_gray.jpg,0
images\augmented\4_3_original.jpg,0
images\augmented\4_3_sobel.jpg,0
images\augmented\4_4_flip.jpg,0
images\augmented\4_4_flip2.jpg,0
images\augmented\4_4_flip3.jpg,0
images\augmented\4_4_flip4.jpg,0
images\augmented\4_4_gray.jpg,0
images\augmented\4_4_original.jpg,0
images\augmented\4_4_sobel.jpg,0
images\augmented\4_5_flip.jpg,0
images\augmented\4_5_flip2.jpg,0
images\augmented\4_5_flip3.jpg,0
images\augmented\4_5_flip4.jpg,0
images\augmented\4_5_gray.jpg,0
images\augmented\4_5_original.jpg,0
images\augmented\4_5_sobel.jpg,0
images\augmented\4_6_flip.jpg,0
images\augmented\4_6_flip2.jpg,0
images\augmented\4_6_flip3.jpg,0
images\augmented\4_6_flip4.jpg,0
images\augmented\4_6_gray.jpg,0
images\augmented\4_6_original.jpg,0
images\augmented\4_6_sobel.jpg,0
images\augmented\4_7_flip.jpg,0
images\augmented\4_7_flip2.jpg,0
images\augmented\4_7_flip3.jpg,0
images\augmented\4_7_flip4.jpg,0
images\augmented\4_7_gray.jpg,0
images\augmented\4_7_original.jpg,0
images\augmented\4_7_sobel.jpg,0
images\augmented\6_1_flip.jpg,0
images\augmented\6_1_flip2.jpg,0
images\augmented\6_1_flip3.jpg,0
images\augmented\6_1_flip4.jpg,0
images\augmented\6_1_gray.jpg,0
images\augmented\6_1_original.jpg,0
images\augmented\6_1_sobel.jpg,0
images\augmented\6_2_flip.jpg,0
images\augmented\6_2_flip2.jpg,0
images\augmented\6_2_flip3.jpg,0
images\augmented\6_2_flip4.jpg,0
images\augmented\6_2_gray.jpg,0
images\augmented\6_2_original.jpg,0
images\augmented\6_2_sobel.jpg,0
images\augmented\6_3_flip.jpg,0
images\augmented\6_3_flip2.jpg,0
images\augmented\6_3_flip3.jpg,0
images\augmented\6_3_flip4.jpg,0
images\augmented\6_3_gray.jpg,0
images\augmented\6_3_original.jpg,0
images\augmented\6_3_sobel.jpg,0
images\augmented\6_4_flip.jpg,0
images\augmented\6_4_flip2.jpg,0
images\augmented\6_4_flip3.jpg,0
images\augmented\6_4_flip4.jpg,0
images\augmented\6_4_gray.jpg,0
images\augmented\6_4_original.jpg,0
images\augmented\6_4_sobel.jpg,0
images\augmented\6_5_flip.jpg,0
images\augmented\6_5_flip2.jpg,0
images\augmented\6_5_flip3.jpg,0
images\augmented\6_5_flip4.jpg,0
images\augmented\6_5_gray.jpg,0
images\augmented\6_5_original.jpg,0
images\augmented\6_5_sobel.jpg,0
images\augmented\6_6_flip.jpg,0
images\augmented\6_6_flip2.jpg,0
images\augmented\6_6_flip3.jpg,0
images\augmented\6_6_flip4.jpg,0
images\augmented\6_6_gray.jpg,0
images\augmented\6_6_original.jpg,0
images\augmented\6_6_sobel.jpg,0
images\augmented\7_1_flip.jpg,0
images\augmented\7_1_flip2.jpg,0
images\augmented\7_1_flip3.jpg,0
images\augmented\7_1_flip4.jpg,0
images\augmented\7_1_gray.jpg,0
images\augmented\7_1_original.jpg,0
images\augmented\7_1_sobel.jpg,0
images\augmented\7_2_flip.jpg,0
images\augmented\7_2_flip2.jpg,0
images\augmented\7_2_flip3.jpg,0
images\augmented\7_2_flip4.jpg,0
images\augmented\7_2_gray.jpg,0
images\augmented\7_2_original.jpg,0
images\augmented\7_2_sobel.jpg,0
images\augmented\7_3_flip.jpg,0
images\augmented\7_3_flip2.jpg,0
images\augmented\7_3_flip3.jpg,0
images\augmented\7_3_flip4.jpg,0
images\augmented\7_3_gray.jpg,0
images\augmented\7_3_original.jpg,0
images\augmented\7_3_sobel.jpg,0
images\augmented\7_4_flip.jpg,0
images\augmented\7_4_flip3.jpg,0
images\augmented\7_4_flip4.jpg,0
images\augmented\7_4_gray.jpg,0
images\augmented\7_4_original.jpg,0
images\augmented\7_4_sobel.jpg,0
images\augmented\7_5_flip.jpg,0
images\augmented\7_5_flip3.jpg,0
images\augmented\7_5_flip4.jpg,0
images\augmented\7_5_gray.jpg,0
images\augmented\7_5_original.jpg,0
images\augmented\7_5_sobel.jpg,0
images\augmented\7_6_flip.jpg,0
images\augmented\7_6_flip3.jpg,0
images\augmented\7_6_flip4.jpg,0
images\augmented\7_6_gray.jpg,0
images\augmented\7_6_original.jpg,0
images\augmented\7_6_sobel.jpg,0
images\augmented\7_7_flip.jpg,0
images\augmented\7_7_flip3.jpg,0
images\augmented\7_7_flip4.jpg,0
