filename,MBTI
images\original\1_1.jpg,ISTJ
images\original\1_3.jpg,ISTJ
images\original\1_4.jpg,ISTJ
images\original\2_1.jpg,ISTJ
images\original\2_2.jpg,ISTJ
images\original\2_3.jpg,ISTJ
images\original\2_4.jpg,ISTJ
images\original\2_5.jpg,ISTJ
images\original\2_6.jpg,ISTJ
images\original\2_7.jpg,ISTJ
images\original\2_8.jpg,ISTJ
images\original\2_9.jpg,ISTJ
images\original\3_1.jpg,ISTJ
images\original\3_3.jpg,ISTJ
images\original\3_5.jpg,ISTJ
images\original\4_1.jpg,ISTJ
images\original\4_2.jpg,ISTJ
images\original\4_3.jpg,ISTJ
images\original\4_4.jpg,ISTJ
images\original\4_5.jpg,ISTJ
images\original\4_6.jpg,ISTJ
images\original\4_7.jpg,ISTJ
images\original\6_1.jpg,ISTJ
images\original\6_2.jpg,ISTJ
images\original\6_3.jpg,ISTJ
images\original\6_4.jpg,ISTJ
images\original\6_5.jpg,ISTJ
images\original\6_6.jpg,ISTJ
images\original\7_1.jpg,ISFJ
images\original\7_2.jpg,ISFJ
images\original\7_3.jpg,ISFJ
images\original\7_4.jpg,ISFJ
images\original\7_5.jpg,ISFJ
images\original\7_6.jpg,ISFJ
images\original\7_7.jpg,ISFJ
images\original\7_8.jpg,ISFJ
images\original\8_1.jpg,ISFJ
images\original\8_8.jpg,ISFJ
images\original\8_9.jpg,ISFJ
images\original\9_1.jpg,ISFJ
images\original\9_2.jpg,ISFJ
images\original\9_3.jpg,ISFJ
images\original\9_4.jpg,ISFJ
images\original\9_5.jpg,ISFJ
images\original\9_6.jpg,ISFJ
images\original\9_7.jpg,ISFJ
images\original\11_1.jpg,ISFJ
images\original\11_2.jpg,ISFJ
images\original\11_3.jpg,ISFJ
images\original\11_4.jpg,ISFJ
images\original\11_5.jpg,ISFJ
images\original\11_6.jpg,ISFJ
images\original\11_7.jpg,ISFJ
images\original\11_8.jpg,ISFJ
images\original\12_1.jpg,ISFJ
images\original\12_2.jpg,ISFJ
images\original\12_3.jpg,ISFJ
images\original\12_4.jpg,ISFJ
images\original\12_5.jpg,ISFJ
images\original\12_6.jpg,ISFJ
images\original\12_7.jpg,ISFJ
images\original\12_8.jpg,ISFJ
images\original\12_9.jpg,ISFJ
images\original\13_1.jpg,ISFJ
images\original\13_2.jpg,ISFJ
images\original\13_4.jpg,ISFJ
images\original\13_5.jpg,ISFJ
images\original\13_6.jpg,ISFJ
images\original\14_1.jpg,ISFJ
images\original\14_2.jpg,ISFJ
images\original\14_3.jpg,ISFJ
images\original\14_4.jpg,ISFJ
images\original\14_5.jpg,ISFJ
images\original\14_6.jpg,ISFJ
images\original\14_8.jpg,ISFJ
images\original\16_1.jpg,ISFJ
images\original\16_2.jpg,ISFJ
images\original\16_5.jpg,ISFJ
images\original\16_6.jpg,ISFJ
images\original\16_7.jpg,ISFJ
images\original\16_8.jpg,ISFJ
images\original\16_9.jpg,ISFJ
images\original\17_1.jpg,ISFJ
images\original\17_2.jpg,ISFJ
images\original\17_3.jpg,ISFJ
images\original\17_4.jpg,ISFJ
images\original\17_5.jpg,ISFJ
images\original\17_6.jpg,ISFJ
images\original\17_7.jpg,ISFJ
images\original\17_8.jpg,ISFJ
images\original\17_9.jpg,ISFJ
images\original\18_1.jpg,ISFJ
images\original\18_2.jpg,ISFJ
images\original\18_3.jpg,ISFJ
images\original\18_5.jpg,ISFJ
images\original\18_6.jpg,ISFJ
images\original\18_7.jpg,ISFJ
images\original\19_1.jpg,ISFJ
images\original\19_2.jpg,ISFJ
images\original\19_3.jpg,ISFJ
images\original\19_4.jpg,ISFJ
images\original\19_5.jpg,ISFJ
images\original\19_6.jpg,ISFJ
images\original\19_7.jpg,ISFJ
images\original\19_9.jpg,ISFJ
images\original\21_1.jpg,ISFJ
images\original\21_2.jpg,ISFJ
images\original\21_4.jpg,ISFJ
images\original\21_5.jpg,ISFJ
images\original\22_1.jpg,ISFJ
images\original\22_2.jpg,ISFJ
images\original\22_4.jpg,ISFJ
images\original\22_5.jpg,ISFJ
images\original\22_6.jpg,ISFJ
images\original\22_7.jpg,ISFJ
images\original\22_8.jpg,ISFJ
images\original\22_9.jpg,ISFJ
images\original\23_1.jpg,ISFJ
images\original\23_3.jpg,ISFJ
images\original\23_5.jpg,ISFJ
images\original\23_6.jpg,ISFJ
images\original\23_7.jpg,ISFJ
images\original\23_8.jpg,ISFJ
images\original\23_9.jpg,ISFJ
images\original\24_1.jpg,ISFJ
images\original\24_2.jpg,ISFJ
images\original\24_3.jpg,ISFJ
images\original\24_4.jpg,ISFJ
images\original\24_5.jpg,ISFJ
images\original\24_6.jpg,ISFJ
images\original\24_8.jpg,ISFJ
images\original\24_9.jpg,ISFJ
images\original\26_1.jpg,ISFJ
images\original\26_2.jpg,ISFJ
images\original\26_3.jpg,ISFJ
images\original\26_4.jpg,ISFJ
images\original\26_5.jpg,ISFJ
images\original\26_6.jpg,ISFJ
images\original\26_7.jpg,ISFJ
images\original\26_8.jpg,ISFJ
images\original\26_9.jpg,ISFJ
images\original\27_1.jpg,ISFJ
images\original\27_2.jpg,ISFJ
images\original\27_3.jpg,ISFJ
images\original\27_5.jpg,ISFJ
images\original\27_6.jpg,ISFJ
images\original\27_7.jpg,ISFJ
images\original\27_8.jpg,ISFJ
images\original\27_9.jpg,ISFJ
images\original\28_1.jpg,ISFJ
images\original\28_2.jpg,ISFJ
images\original\28_3.jpg,ISFJ
images\original\28_4.jpg,ISFJ
images\original\28_5.jpg,ISFJ
images\original\28_7.jpg,ISFJ
images\original\28_8.jpg,ISFJ
images\original\28_9.jpg,ISFJ
images\original\29_1.jpg,ISFJ
images\original\29_2.jpg,ISFJ
images\original\29_3.jpg,ISFJ
images\original\29_4.jpg,ISFJ
images\original\29_5.jpg,ISFJ
images\original\29_6.jpg,ISFJ
images\original\29_7.jpg,ISFJ
images\original\29_9.jpg,ISFJ
images\original\31_1.jpg,ISFJ
images\original\31_2.jpg,ISFJ
images\original\31_3.jpg,ISFJ
images\original\31_4.jpg,ISFJ
images\original\31_5.jpg,ISFJ
images\original\31_6.jpg,ISFJ
images\original\31_7.jpg,ISFJ
images\original\31_8.jpg,ISFJ
images\original\31_9.jpg,ISFJ
images\original\32_1.jpg,ISFJ
images\original\32_2.jpg,ISFJ
images\original\32_3.jpg,ISFJ
images\original\32_4.jpg,ISFJ
images\original\32_5.jpg,ISFJ
images\original\32_7.jpg,ISFJ
images\original\32_8.jpg,ISFJ
images\original\32_9.jpg,ISFJ
images\original\33_1.jpg,ISFJ
images\original\33_2.jpg,ISFJ
images\original\33_3.jpg,ISFJ
images\original\33_4.jpg,ISFJ
images\original\33_5.jpg,ISFJ
images\original\33_6.jpg,ISFJ
images\original\33_7.jpg,ISFJ
images\original\33_8.jpg,ISFJ
